Age,Gender,Marital_Status,Dependents,Employment_Type,Industry,Monthly_Income,Monthly_Expense,Existing_EMI,Loan_Amount,Interest_Rate,Tenure_Months,New_EMI,Credit_Limit,Used_Credit,Credit_Score,Delinquencies_12M,Property_Value,Call_Count,Complaint_Flag,Review_Sentiment,Review_Length,Defaulted
35,Female,Married,1,Contract,Govt,45473.0,6000.0,5447.0,669638.0,10.62,48,17184.0,117468.0,76660.0,742,0,1268505.0,1,0,0.369,65,1
35,Male,Single,1,Salaried,Healthcare,62855.0,6000.0,2772.0,470995.0,12.28,48,12468.0,133482.0,60598.0,764,0,634418.0,2,0,0.918,55,1
46,Female,Married,0,Salaried,Healthcare,34801.0,7309.0,12223.0,580644.0,11.33,24,27152.0,274807.0,201013.0,611,1,1287509.0,1,0,-0.064,72,1
23,Female,Married,1,Salaried,IT,138747.0,6598.0,40198.0,1820510.0,8.06,48,44495.0,423747.0,53814.0,726,2,2482016.0,3,0,-0.6,83,1
43,Male,Married,0,Self-Employed,Govt,57378.0,6802.0,25633.0,1027175.0,13.21,48,27664.0,256971.0,39347.0,708,0,2190849.0,3,0,0.377,99,1
21,Female,Divorced,3,Self-Employed,IT,62951.0,10632.0,17122.0,1092710.0,10.82,36,35681.0,370139.0,228573.0,664,1,2344214.0,5,1,-0.914,123,1
34,Female,Single,1,Salaried,IT,88734.0,44718.0,14354.0,1124648.0,14.17,24,54088.0,298854.0,118524.0,584,0,2518706.0,1,0,-0.723,39,1
34,Female,Single,0,Salaried,Retail,72025.0,14521.0,22152.0,650124.0,9.04,48,16191.0,463487.0,314036.0,745,0,1037103.0,0,0,0.155,74,1
47,Female,Single,2,Salaried,Healthcare,70617.0,6000.0,13979.0,764809.0,10.58,36,24887.0,305743.0,6495.0,753,0,1586966.0,0,0,0.658,39,1
36,Male,Married,3,Self-Employed,IT,78406.0,26762.0,1303.0,1710171.0,11.89,24,80416.0,200400.0,135851.0,594,1,3571246.0,3,0,0.811,73,1
30,Male,Single,2,Salaried,Retail,19712.0,6000.0,4816.0,361360.0,10.6,48,9269.0,134932.0,112282.0,676,1,840274.0,3,0,0.842,55,1
50,Male,Single,2,Self-Employed,Retail,69476.0,17044.0,13163.0,1450143.0,10.05,36,46826.0,293356.0,139747.0,696,0,2433309.0,1,0,-0.839,65,1
52,Female,Single,1,Salaried,Healthcare,39982.0,6000.0,4732.0,371615.0,9.57,60,7817.0,192462.0,116075.0,717,0,626007.0,4,0,-0.823,49,1
29,Female,Married,0,Salaried,IT,36498.0,12458.0,14846.0,708147.0,13.37,60,16247.0,201097.0,84212.0,628,1,799280.0,2,0,-0.431,84,1
43,Male,Single,1,Self-Employed,Retail,55505.0,17842.0,15522.0,447376.0,9.63,36,14358.0,395964.0,20028.0,759,0,536683.0,1,0,0.007,80,1
32,Female,Married,1,Self-Employed,IT,39913.0,14290.0,8152.0,825591.0,11.65,24,38729.0,84175.0,11630.0,674,0,1329247.0,1,0,0.661,96,1
38,Male,Divorced,0,Self-Employed,IT,39275.0,8484.0,15826.0,860687.0,12.15,48,22729.0,119585.0,62114.0,763,1,1332672.0,1,0,0.508,37,1
39,Male,Divorced,1,Salaried,IT,62659.0,6000.0,18464.0,615721.0,10.81,36,20103.0,451360.0,249662.0,736,0,1068590.0,2,0,0.722,78,1
23,Male,Married,0,Salaried,Healthcare,69857.0,15846.0,10624.0,949526.0,9.68,36,30496.0,193286.0,163205.0,728,0,1390122.0,1,0,0.85,48,1
37,Female,Married,0,Salaried,Retail,89018.0,28812.0,31474.0,730534.0,10.26,36,23662.0,244792.0,129071.0,749,0,1283390.0,1,0,0.808,81,1
25,Male,Single,0,Contract,Manufacturing,43980.0,6000.0,11458.0,743384.0,10.31,36,24095.0,144244.0,64407.0,729,0,1576748.0,4,0,-0.097,74,1
26,Male,Single,0,Salaried,Govt,119410.0,11194.0,10804.0,2625193.0,8.17,60,53443.0,789972.0,300563.0,794,0,4132661.0,5,0,0.318,42,1
31,Male,Married,5,Salaried,IT,60228.0,10217.0,6843.0,457357.0,9.66,18,27396.0,380203.0,48576.0,779,0,864036.0,3,0,0.255,93,1
21,Female,Single,0,Contract,IT,126979.0,53549.0,34411.0,790098.0,14.49,36,27192.0,331927.0,265480.0,637,1,955126.0,2,0,0.626,63,1
21,Male,Single,1,Contract,Healthcare,66655.0,22627.0,12651.0,1371855.0,12.16,36,45670.0,346188.0,292183.0,675,0,2996884.0,1,0,-0.844,131,1
