Customer_ID,Age,Gender,City,Signup_Date,Annual_Income_INR,Total_Spend_12M_INR,Purchase_Frequency_12M,Avg_Order_Value_INR,Days_Since_Last_Purchase,Discount_Usage_Pct,Online_Purchase_Pct,App_Visits_Per_Month,Returns_Pct,Categories_Purchased,Loyalty_Points,Customer_Tenure_Months,Campaign_Response_Rate_Pct,Preferred_Channel
CUST01861,39,Male,Chennai,2023-08-29,1180004.0,78897.0,15,7607.0,5,13.3,88.2,23.0,15.4,6,4017,37,39.0,Mobile App
CUST00354,18,Male,Pune,2023-06-25,1620808.0,60324.0,14,4773.0,12,24.5,99.6,22.0,4.8,8,3317,39,60.3,Mobile App
CUST01334,59,Male,Delhi,2022-02-09,875248.0,46379.0,6,7461.0,189,52.9,47.5,6.0,1.0,1,2669,55,19.5,Website
CUST00906,35,Female,Chennai,2026-01-20,870223.0,51190.0,18,2653.0,24,31.8,99.8,20.0,16.2,5,2566,7,75.0,Mobile App
CUST01290,36,Male,Bengaluru,2023-11-29,1183226.0,78450.0,18,4492.0,17,32.7,90.6,22.0,10.7,8,4428,34,80.8,Website
CUST01274,33,Female,Ahmedabad,2025-09-24,1057263.0,104341.0,31,3543.0,14,15.1,91.2,21.0,7.4,5,3985,11,11.8,Mobile App
CUST00939,22,Female,Ahmedabad,2026-08-03,615851.0,11459.0,5,2152.0,153,71.9,8.9,1.0,9.5,4,1312,1,0.0,Website
CUST01732,47,Female,Chennai,2023-04-03,962271.0,107908.0,31,2828.0,25,6.7,100.0,13.0,8.2,11,5737,42,59.0,Mobile App
CUST00066,27,Female,Chennai,2025-05-22,1453535.0,73586.0,34,2209.0,15,30.2,92.0,29.0,8.7,11,3447,16,61.7,Website
CUST01324,59,Male,Chennai,2021-04-16,1818398.0,173570.0,6,29449.0,64,,45.5,10.0,0.0,3,7202,65,43.1,Mobile App
CUST00057,37,Male,Pune,2022-02-10,1106011.0,48416.0,25,1824.0,5,58.5,92.0,11.0,8.4,11,3715,55,77.3,Mobile App
CUST01293,40,Male,Hyderabad,2026-07-09,1590389.0,79605.0,22,3660.0,22,34.1,99.9,21.0,6.4,6,3475,2,61.7,Website
CUST01119,46,Male,Ahmedabad,2023-02-04,705909.0,51973.0,9,6179.0,20,88.7,60.4,14.0,7.9,5,2115,43,56.2,Mobile App
CUST00585,37,Male,Pune,2024-08-22,954693.0,32740.0,3,12814.0,126,60.0,35.1,1.0,0.0,3,1030,25,22.8,Website
CUST00375,41,Female,Pune,2018-10-27,1631789.0,120504.0,31,4279.0,12,5.0,71.7,12.0,6.4,8,6683,96,48.7,Store
CUST00276,33,Female,Kolkata,2023-05-13,834910.0,61355.0,15,2863.0,41,61.0,63.9,13.0,17.4,7,2847,40,,Mobile App
CUST00747,38,Male,Bengaluru,2023-03-10,625337.0,44490.0,15,2900.0,48,95.5,100.0,17.0,9.6,3,1765,42,56.1,Mobile App
CUST00129,49,Female,Hyderabad,2023-06-13,1760290.0,150252.0,25,5856.0,21,5.2,76.3,11.0,6.0,8,6796,39,45.9,Store
CUST01647,38,Male,Pune,2024-08-04,1069738.0,61853.0,18,3825.0,21,60.4,97.7,9.0,5.7,5,3239,25,65.1,Mobile App
CUST01853,27,Female,Ahmedabad,2024-08-19,1212207.0,99758.0,17,6424.0,13,20.0,83.1,19.0,9.4,7,4511,25,55.3,Mobile App
CUST00675,22,Male,Mumbai,2022-07-31,1128576.0,83853.0,22,4445.0,19,5.7,86.1,37.0,10.6,8,4857,50,17.3,Mobile App
CUST01665,70,Male,Kolkata,2025-11-02,296173.0,33372.0,5,6324.0,172,6.7,62.5,0.0,13.0,6,425,10,22.5,Store
CUST01982,49,Male,Chennai,2023-07-12,884558.0,29943.0,21,1440.0,14,71.1,93.3,8.0,14.2,5,2078,38,56.8,Mobile App
CUST01084,43,Male,Hyderabad,2025-11-13,1027664.0,4278.0,5,778.0,177,52.6,38.8,3.0,3.5,6,329,10,8.4,Mobile App
CUST01923,23,Female,Kolkata,2025-11-07,1080829.0,44631.0,20,1935.0,20,33.4,83.1,28.0,11.5,9,2894,10,37.3,Website
CUST00100,33,Male,Pune,2023-02-14,855461.0,20286.0,2,9822.0,152,67.1,50.5,0.0,0.0,5,405,43,6.2,Store
CUST01180,39,Male,Ahmedabad,2021-05-03,707352.0,66601.0,13,4515.0,24,96.9,37.5,13.0,18.3,6,3370,65,77.8,Website
CUST00965,39,Female,Delhi,2022-10-11,700047.0,23358.0,6,3446.0,236,42.5,77.1,0.0,2.9,4,1066,47,13.4,Mobile App
CUST00793,32,Female,Chennai,2022-05-02,815139.0,69547.0,14,5345.0,17,66.0,75.4,11.0,7.8,8,4287,53,65.5,Store
CUST00030,41,Female,Kolkata,2023-05-26,2761380.0,129573.0,5,24661.0,1,23.4,25.4,5.0,4.3,5,4450,40,2.2,Store
CUST00629,25,Male,Bengaluru,2024-06-28,1737223.0,83829.0,29,2780.0,11,45.0,100.0,19.0,6.3,3,5916,27,34.9,Website
CUST00945,22,Female,Delhi,2023-05-15,1031402.0,56048.0,18,3747.0,4,14.1,100.0,29.0,10.9,9,3013,40,74.6,Website
CUST00573,35,Male,Delhi,2023-07-10,1061994.0,36873.0,26,1443.0,3,39.5,100.0,21.0,0.0,5,2054,38,48.4,Website
CUST00908,43,Female,Ahmedabad,2021-06-30,2006251.0,122182.0,29,4580.0,8,14.4,63.2,22.0,0.2,6,6729,63,44.1,Store
CUST01081,36,Other,Kolkata,2024-03-31,890565.0,61860.0,24,2453.0,20,86.1,88.9,22.0,11.5,6,3533,29,46.1,Mobile App
CUST00451,48,Female,Chennai,2022-03-26,1688697.0,148063.0,17,8456.0,4,8.7,75.2,18.0,6.9,11,5838,54,75.0,Store
CUST01610,36,Male,Bengaluru,2021-01-17,1120790.0,45753.0,6,6744.0,12,28.0,83.9,32.0,3.7,7,2368,68,49.9,Website
CUST01291,31,Female,Bengaluru,2023-06-16,300953.0,74904.0,24,3040.0,10,32.8,83.2,37.0,5.7,5,3781,39,49.8,Website
CUST01079,26,Female,Kolkata,2022-08-14,1213695.0,64702.0,12,5677.0,4,17.2,94.3,16.0,4.1,6,3378,49,39.5,Mobile App
CUST00255,37,Female,Hyderabad,2025-03-17,780417.0,62775.0,23,2542.0,31,76.6,81.7,7.0,9.1,4,3215,18,59.6,Mobile App
CUST00125,50,Male,Hyderabad,2023-01-13,2121057.0,139718.0,27,5327.0,10,19.4,46.3,12.0,5.5,9,5349,44,53.9,Website
CUST01928,62,Female,Delhi,2020-11-26,2617691.0,132364.0,5,22389.0,41,19.5,3.7,5.0,0.4,3,5577,70,35.4,Store
CUST00252,32,Female,Chennai,2020-09-08,947845.0,36904.0,3,12516.0,129,39.5,43.6,0.0,16.5,2,2617,73,6.4,Store
CUST00586,36,Male,Kolkata,2022-11-01,1135169.0,72177.0,23,2501.0,15,39.1,93.1,33.0,9.4,7,3781,47,43.3,Mobile App
CUST01569,18,Male,Bengaluru,2025-05-11,1590736.0,79174.0,23,3628.0,11,36.1,95.0,24.0,11.2,6,4567,16,20.9,Mobile App
CUST00825,39,Male,Chennai,2023-07-08,726534.0,36800.0,5,8324.0,217,65.1,74.6,4.0,8.0,3,1939,38,0.0,Mobile App
CUST00508,18,Male,Mumbai,2021-11-06,947178.0,36294.0,3,11867.0,105,35.7,29.3,3.0,0.2,3,2392,59,10.1,Website
CUST00890,48,Female,Ahmedabad,2025-03-15,2524745.0,113621.0,9,13184.0,77,15.0,52.6,9.0,6.3,5,4745,18,0.0,Store
CUST00071,37,Female,Pune,2023-10-28,746578.0,57585.0,22,2582.0,12,95.3,69.3,14.0,4.5,7,4621,35,58.9,Store
CUST01609,20,Male,Kolkata,2024-07-08,608774.0,45453.0,23,2038.0,15,86.3,62.8,13.0,11.5,6,3251,26,45.7,Website
CUST01533,36,Male,Hyderabad,2025-04-02,1061320.0,79866.0,24,3332.0,3,35.8,100.0,20.0,10.1,5,3890,17,67.1,Mobile App
CUST00248,43,Male,Chennai,2020-04-22,467744.0,63041.0,18,3057.0,38,49.0,62.5,20.0,17.4,7,3406,77,67.4,Store
CUST01451,39,Female,Mumbai,2019-01-12,517404.0,20990.0,4,5628.0,38,62.4,68.3,3.0,14.7,1,2341,93,2.8,Store
CUST00213,34,Male,Pune,2023-10-25,1284273.0,77715.0,23,3516.0,28,61.9,77.9,12.0,11.8,5,4281,35,70.5,Mobile App
CUST00910,28,Female,Hyderabad,2024-04-16,301724.0,42900.0,22,1969.0,43,72.4,49.7,3.0,16.1,6,3164,29,57.9,Store
CUST01742,35,Male,Mumbai,2020-09-04,874239.0,38027.0,19,1953.0,8,58.1,89.1,22.0,14.1,8,2562,73,52.3,Mobile App
CUST01245,58,Female,Mumbai,2025-08-03,1075958.0,65901.0,32,2154.0,23,75.4,52.8,11.0,0.0,8,3914,13,81.5,Store
CUST01697,42,Male,Chennai,2024-05-28,618543.0,55829.0,17,3567.0,16,84.4,24.2,18.0,10.3,5,2474,28,68.5,Store
CUST01183,51,Male,Ahmedabad,2023-06-28,1089369.0,88056.0,30,2672.0,12,18.3,28.7,15.0,4.9,9,5007,39,25.5,Store
CUST00362,54,Female,Mumbai,2024-01-03,2044758.0,133215.0,24,5834.0,26,4.4,69.4,22.0,9.9,9,5564,32,58.0,Website
CUST01474,36,Female,Pune,2023-11-03,1257917.0,64145.0,21,2911.0,11,37.5,88.8,30.0,8.6,7,2626,34,38.9,Mobile App
CUST00679,37,Male,Delhi,2021-06-16,2204177.0,135205.0,18,7754.0,27,13.5,64.5,18.0,9.5,9,6503,63,72.2,Website
CUST01622,31,Female,Bengaluru,2023-08-15,466923.0,15146.0,23,591.0,19,12.7,86.2,33.0,8.4,9,2153,37,33.3,Mobile App
CUST01090,39,Male,Kolkata,2025-03-06,1598018.0,96366.0,26,3136.0,16,33.9,94.1,26.0,6.8,10,4258,18,60.8,Mobile App
CUST01988,46,Male,Ahmedabad,2019-04-13,2809048.0,388665.0,8,15424.0,37,25.0,52.1,5.0,4.4,4,5411,90,39.3,Store
CUST01848,21,Female,Bengaluru,2023-12-31,1224172.0,85288.0,14,4797.0,1,23.8,96.6,28.0,4.0,8,3485,32,,Mobile App
CUST00988,42,Male,Hyderabad,2018-07-11,1293151.0,126776.0,28,4408.0,25,14.8,63.6,10.0,8.6,8,7076,99,61.3,Website
CUST01513,25,Male,Ahmedabad,2023-07-20,1227134.0,98960.0,24,4510.0,16,23.2,89.1,31.0,1.6,7,4876,38,47.4,Website
CUST00112,40,Male,Bengaluru,2023-09-04,814108.0,47220.0,17,2317.0,37,72.9,70.3,22.0,9.4,1,2300,36,100.0,Store
CUST01488,22,Male,Kolkata,2022-08-23,1116240.0,78232.0,19,4232.0,20,16.3,94.8,37.0,2.0,4,4012,49,26.9,Website
CUST01454,36,Female,Bengaluru,2021-09-07,1189477.0,10056.0,5,2282.0,335,42.1,7.5,5.0,0.2,3,1431,61,13.1,Store
