Customer_ID,Generation_Segment_Instructor_Only
CUST01861,Digital Regular
CUST00354,Digital Regular
CUST01334,Disengaged
CUST00906,Digital Regular
CUST01290,Digital Regular
CUST01274,Digital Regular
CUST00939,Disengaged
CUST01732,Premium Loyalist
CUST00066,Digital Regular
CUST01324,Occasional Big Spender
CUST00057,Digital Regular
CUST01293,Digital Regular
CUST01119,Deal Seeker
CUST00585,Disengaged
CUST00375,Premium Loyalist
CUST00276,Deal Seeker
CUST00747,Deal Seeker
CUST00129,Premium Loyalist
CUST01647,Deal Seeker
CUST01853,Digital Regular
CUST00675,Digital Regular
CUST01665,Disengaged
CUST01982,Deal Seeker
CUST01084,Disengaged
CUST01923,Digital Regular
CUST00100,Disengaged
CUST01180,Deal Seeker
CUST00965,Disengaged
CUST00793,Deal Seeker
CUST00030,Occasional Big Spender
CUST00629,Digital Regular
CUST00945,Digital Regular
CUST00573,Digital Regular
CUST00908,Premium Loyalist
CUST01081,Deal Seeker
CUST00451,Premium Loyalist
CUST01610,Digital Regular
CUST01291,Digital Regular
CUST01079,Digital Regular
CUST00255,Deal Seeker
CUST00125,Premium Loyalist
CUST01928,Occasional Big Spender
CUST00252,Disengaged
CUST00586,Digital Regular
CUST01569,Digital Regular
CUST00825,Disengaged
CUST00508,Disengaged
CUST00890,Occasional Big Spender
CUST00071,Deal Seeker
CUST01609,Deal Seeker
CUST01533,Digital Regular
CUST00248,Deal Seeker
CUST01451,Disengaged
CUST00213,Deal Seeker
CUST00910,Deal Seeker
CUST01742,Deal Seeker
CUST01245,Deal Seeker
CUST01697,Deal Seeker
CUST01183,Premium Loyalist
CUST00362,Premium Loyalist
CUST01474,Digital Regular
CUST00679,Premium Loyalist
CUST01622,Digital Regular
CUST01090,Digital Regular
CUST01988,Occasional Big Spender
CUST01848,Digital Regular
CUST00988,Premium Loyalist
CUST01513,Digital Regular
CUST00112,Deal Seeker
CUST01488,Digital Regular
CUST01454,Disengaged
CUST00384,Digital Regular
CUST01396,Premium Loyalist
CUST01055,Deal Seeker
CUST00756,Deal Seeker
CUST00325,Disengaged
CUST01624,Premium Loyalist
CUST00788,Deal Seeker
CUST00369,Deal Seeker
CUST01820,Digital Regular
CUST00070,Digital Regular
CUST00858,Disengaged
CUST01484,Deal Seeker
CUST01556,Occasional Big Spender
CUST01692,Disengaged
CUST01475,Digital Regular
CUST01799,Digital Regular
CUST00479,Digital Regular
CUST00282,Deal Seeker
CUST01648,Occasional Big Spender
CUST01557,Disengaged
CUST01730,Deal Seeker
CUST00211,Occasional Big Spender
CUST00298,Disengaged
CUST01885,Deal Seeker
CUST01834,Deal Seeker
CUST00652,Disengaged
CUST01234,Occasional Big Spender
CUST01503,Deal Seeker
CUST01932,Digital Regular
CUST00917,Premium Loyalist
CUST00994,Deal Seeker
CUST00430,Disengaged
CUST01371,Premium Loyalist
CUST00240,Premium Loyalist
CUST00880,Digital Regular
CUST00621,Occasional Big Spender
CUST00257,Disengaged
CUST00612,Digital Regular
CUST00545,Premium Loyalist
CUST00772,Digital Regular
CUST01420,Disengaged
CUST01042,Digital Regular
CUST01790,Premium Loyalist
CUST00760,Digital Regular
CUST00383,Occasional Big Spender
CUST01104,Disengaged
CUST00974,Disengaged
CUST00353,Digital Regular
CUST01606,Deal Seeker
CUST01826,Premium Loyalist
CUST01037,Deal Seeker
CUST01108,Deal Seeker
CUST00495,Occasional Big Spender
CUST00394,Occasional Big Spender
CUST01547,Deal Seeker
CUST00465,Digital Regular
CUST00887,Deal Seeker
CUST01194,Disengaged
CUST00367,Occasional Big Spender
CUST01894,Premium Loyalist
CUST01874,Disengaged
