Transaction_ID,Items_Purchased,Item_Count
T0001,"Biscuits, Bread, Butter, Milk",4
T0002,"Butter, Pasta, Tomato Sauce",3
T0003,"Biscuits, Sugar, Tea",3
T0004,"Bread, Butter, Milk, Pasta, Sugar, Yogurt",6
T0005,"Biscuits, Bread, Dal, Milk, Yogurt",5
T0006,"Bread, Butter, Cereal, Chips, Eggs, Juice, Milk",7
T0007,"Butter, Cereal, Dal, Eggs, Pasta, Rice, Tomato Sauce",7
T0008,"Bread, Sugar",2
T0009,"Biscuits, Bread, Cereal, Eggs, Milk",5
T0010,"Biscuits, Butter, Coffee, Sugar, Tea",5
T0011,"Bread, Butter, Dal, Milk, Pasta, Sugar, Tomato Sauce",7
T0012,"Biscuits, Butter, Dal, Tea, Tomato Sauce",5
T0013,"Biscuits, Cheese, Chips, Juice, Sugar, Tomato Sauce",6
T0014,"Apple, Bread, Butter, Cheese, Cooking Oil, Juice, Milk, Sugar",8
T0015,"Cheese, Coffee, Sugar",3
T0016,"Cereal, Chips, Juice, Milk",4
T0017,"Eggs, Pasta, Tomato Sauce",3
T0018,"Bread, Coffee, Dal, Eggs, Milk, Rice, Yogurt",7
T0019,"Dal, Eggs, Juice, Rice",4
T0020,"Cheese, Coffee, Cooking Oil",3
T0021,"Chips, Dal, Juice",3
T0022,"Bread, Dal, Rice, Sugar, Tomato Sauce",5
T0023,"Apple, Butter, Cheese, Pasta, Tomato Sauce",5
T0024,"Cereal, Chips, Dal, Juice, Milk, Pasta, Rice, Tea, Tomato Sauce",9
T0025,"Milk, Pasta, Sugar, Tomato Sauce",4
T0026,"Butter, Sugar",2
T0027,"Biscuits, Butter, Juice, Sugar",4
T0028,"Apple, Bread, Butter, Cheese, Milk, Pasta, Tomato Sauce",7
T0029,"Bread, Butter, Eggs, Milk, Yogurt",5
T0030,"Bread, Butter, Eggs, Milk",4
T0031,"Biscuits, Bread, Butter, Milk, Sugar, Tea",6
T0032,"Banana, Butter, Chips, Sugar",4
T0033,"Bread, Pasta",2
T0034,"Apple, Coffee, Yogurt",3
T0035,"Bread, Butter, Cereal, Coffee, Milk",5
T0036,"Apple, Bread, Butter, Cheese, Milk, Pasta, Tomato Sauce, Yogurt",8
T0037,"Bread, Butter, Dal, Milk",4
T0038,"Bread, Butter, Juice",3
T0039,"Bread, Cereal, Milk, Sugar",4
T0040,"Bread, Butter, Chips, Juice, Milk",5
T0041,"Biscuits, Bread, Dal, Milk, Sugar, Tea",6
T0042,"Banana, Bread, Butter, Eggs, Milk",5
T0043,"Bread, Butter, Cheese, Cooking Oil, Milk, Sugar",6
T0044,"Chips, Dal, Juice, Milk, Rice",5
T0045,"Bread, Cheese, Chips, Eggs, Juice, Milk, Pasta, Tomato Sauce",8
T0046,"Apple, Biscuits, Bread, Butter, Juice, Milk",6
T0047,"Bread, Butter, Cheese, Dal, Milk",5
T0048,"Bread, Chips, Eggs, Juice, Milk, Pasta, Yogurt",7
T0049,"Bread, Butter, Cheese, Milk, Pasta, Tomato Sauce, Yogurt",7
T0050,"Cooking Oil, Tea",2
T0051,"Cheese, Pasta, Sugar, Yogurt",4
T0052,"Coffee, Milk, Sugar, Yogurt",4
T0053,"Biscuits, Cereal, Coffee, Eggs, Milk, Sugar",6
T0054,"Cooking Oil, Dal, Milk, Pasta, Rice, Sugar, Tomato Sauce",7
T0055,"Biscuits, Cooking Oil",2
T0056,"Biscuits, Bread, Dal, Eggs, Milk, Pasta, Tomato Sauce",7
T0057,"Bread, Chips, Juice, Milk, Yogurt",5
T0058,"Bread, Butter, Cereal, Milk, Tomato Sauce",5
T0059,"Butter, Cooking Oil, Yogurt",3
T0060,"Chips, Dal, Eggs, Juice, Rice",5
T0061,"Biscuits, Cheese, Pasta, Tea, Tomato Sauce, Yogurt",6
T0062,"Bread, Chips, Dal, Juice, Milk, Rice, Tomato Sauce",7
T0063,"Banana, Chips, Tea, Tomato Sauce",4
T0064,"Butter, Dal, Juice, Rice",4
T0065,"Bread, Butter, Dal, Milk, Rice, Sugar",6
T0066,"Apple, Banana, Bread, Butter, Milk",5
T0067,"Apple, Bread, Cereal, Chips, Milk",5
T0068,"Bread, Milk, Sugar, Yogurt",4
T0069,"Banana, Bread, Butter, Eggs, Milk, Pasta, Sugar, Tomato Sauce",8
T0070,"Banana, Chips, Juice, Yogurt",4
T0071,"Apple, Banana, Biscuits, Sugar, Tomato Sauce",5
T0072,"Banana, Bread, Butter, Dal, Milk, Rice, Sugar",7
T0073,"Cereal, Cheese, Sugar",3
T0074,"Bread, Butter, Chips, Juice, Milk, Yogurt",6
T0075,"Apple, Bread, Butter, Cereal, Chips, Milk, Tomato Sauce",7
T0076,"Apple, Bread, Butter, Chips, Milk, Pasta, Sugar, Tomato Sauce",8
T0077,"Banana, Cereal, Cheese, Coffee, Milk, Sugar",6
T0078,"Banana, Biscuits, Bread, Butter, Cheese, Coffee, Milk, Sugar",8
T0079,"Apple, Biscuits, Bread, Butter, Chips, Milk, Yogurt",7
T0080,"Bread, Butter, Milk, Sugar",4
T0081,"Bread, Butter, Cheese, Chips, Juice, Milk",6
T0082,"Banana, Biscuits, Bread, Cooking Oil, Milk",5
T0083,"Bread, Butter, Coffee, Milk, Rice, Sugar",6
T0084,"Biscuits, Butter, Cereal, Eggs, Sugar, Tea",6
T0085,"Bread, Butter, Milk, Tomato Sauce",4
T0086,"Butter, Dal, Juice, Milk",4
T0087,"Banana, Bread, Cheese, Cooking Oil, Eggs, Milk, Yogurt",7
T0088,"Apple, Banana, Bread, Chips, Milk, Pasta, Tomato Sauce",7
T0089,"Banana, Biscuits, Bread, Butter, Milk",5
T0090,"Apple, Chips, Coffee, Dal, Juice, Milk, Sugar",7
T0091,"Biscuits, Chips, Juice, Milk, Pasta, Tomato Sauce",6
T0092,"Apple, Bread, Butter, Chips, Juice, Milk, Pasta, Sugar, Tomato Sauce",9
T0093,"Bread, Butter, Cooking Oil, Dal, Milk, Rice, Tomato Sauce",7
T0094,"Banana, Biscuits, Bread, Butter, Cooking Oil, Dal, Milk, Rice",8
T0095,"Bread, Coffee, Milk, Pasta, Sugar, Tomato Sauce",6
T0096,"Bread, Butter, Dal, Eggs, Milk, Rice, Sugar, Tea",8
T0097,"Bread, Milk, Pasta, Tomato Sauce",4
T0098,"Apple, Bread, Butter, Dal, Eggs, Juice, Milk, Rice",8
T0099,"Apple, Butter, Cereal, Eggs, Tomato Sauce",5
T0100,"Bread, Butter, Cheese, Dal, Milk, Rice, Tomato Sauce",7
T0101,"Banana, Cereal, Chips, Juice, Milk, Sugar",6
T0102,"Biscuits, Bread, Butter, Dal, Eggs, Rice, Tea, Tomato Sauce",8
T0103,"Bread, Coffee, Milk, Sugar",4
T0104,"Rice, Sugar",2
T0105,"Biscuits, Bread, Butter, Milk, Sugar, Tea, Yogurt",7
T0106,"Bread, Butter, Cheese, Coffee",4
T0107,"Banana, Chips, Eggs, Juice, Rice",5
T0108,"Banana, Bread, Butter, Dal, Yogurt",5
T0109,"Chips, Milk, Tomato Sauce",3
T0110,"Apple, Bread, Butter, Coffee, Sugar, Tomato Sauce",6
T0111,"Apple, Bread, Butter, Chips, Cooking Oil, Milk, Yogurt",7
T0112,"Apple, Cereal, Dal, Milk, Rice, Yogurt",6
T0113,"Biscuits, Cereal, Dal, Eggs",4
T0114,"Banana, Bread, Butter, Milk, Pasta, Tomato Sauce",6
T0115,"Banana, Biscuits, Bread, Butter, Cheese, Tea",6
T0116,"Milk, Sugar",2
T0117,"Bread, Chips, Juice, Milk, Pasta, Yogurt",6
T0118,"Apple, Cheese",2
T0119,"Apple, Biscuits, Juice, Yogurt",4
T0120,"Banana, Bread, Cheese, Milk, Pasta, Tomato Sauce",6
T0121,"Biscuits, Bread, Butter, Milk, Yogurt",5
T0122,"Apple, Dal, Milk, Rice, Tomato Sauce",5
T0123,"Banana, Cereal, Cooking Oil, Dal, Pasta",5
T0124,"Cereal, Milk, Sugar, Tomato Sauce",4
T0125,"Apple, Cereal, Cheese, Milk, Tomato Sauce",5
T0126,"Banana, Chips, Eggs, Juice",4
T0127,"Bread, Butter, Cheese, Milk, Yogurt",5
T0128,"Butter, Cereal, Chips, Dal, Juice",5
T0129,"Apple, Bread, Butter, Milk, Pasta, Tomato Sauce",6
T0130,"Butter, Eggs, Yogurt",3
T0131,"Banana, Coffee",2
T0132,"Bread, Butter, Dal, Milk",4
T0133,"Juice, Sugar, Yogurt",3
T0134,"Butter, Chips, Coffee, Sugar",4
T0135,"Banana, Biscuits, Bread, Cheese, Milk, Sugar, Tomato Sauce",7
T0136,"Banana, Butter, Coffee, Pasta, Rice, Tomato Sauce",6
T0137,"Banana, Biscuits, Cereal, Dal, Milk, Rice, Tea",7
T0138,"Biscuits, Bread, Cereal, Milk, Rice",5
T0139,"Cooking Oil, Rice, Sugar, Tea, Tomato Sauce",5
T0140,"Bread, Butter, Dal, Eggs, Rice",5
T0141,"Butter, Dal, Rice",3
T0142,"Cooking Oil, Juice, Pasta, Tomato Sauce",4
T0143,"Apple, Biscuits, Dal, Rice",4
T0144,"Banana, Bread, Butter, Milk",4
T0145,"Bread, Butter, Cereal, Cooking Oil, Milk, Pasta, Tomato Sauce",7
T0146,"Cereal, Cooking Oil, Eggs, Milk, Tomato Sauce",5
T0147,"Banana, Butter, Chips, Juice, Sugar",5
T0148,"Bread, Butter, Cheese, Dal, Eggs, Pasta, Rice, Tomato Sauce",8
T0149,"Banana, Cheese, Cooking Oil, Pasta, Tomato Sauce, Yogurt",6
T0150,"Biscuits, Bread, Butter, Chips, Cooking Oil, Juice, Milk, Yogurt",8
T0151,"Bread, Butter, Cooking Oil, Eggs, Milk, Pasta, Tomato Sauce",7
T0152,"Biscuits, Bread, Butter, Dal, Milk, Tea",6
T0153,"Pasta, Tea, Tomato Sauce",3
T0154,"Biscuits, Chips, Juice, Milk",4
T0155,"Biscuits, Bread, Coffee, Milk, Pasta, Sugar, Tomato Sauce",7
T0156,"Bread, Butter, Dal, Milk, Tomato Sauce",5
T0157,"Apple, Banana, Butter, Eggs, Juice",5
T0158,"Banana, Bread, Juice, Milk",4
T0159,"Apple, Banana, Bread, Butter, Milk",5
T0160,"Apple, Banana, Bread, Butter, Milk",5
T0161,"Biscuits, Butter, Cheese",3
T0162,"Banana, Cereal, Juice, Milk, Rice",5
T0163,"Biscuits, Bread, Milk, Pasta, Tea",5
T0164,"Chips, Dal, Eggs, Juice, Pasta, Tomato Sauce, Yogurt",7
T0165,"Bread, Butter, Chips, Milk, Pasta, Tomato Sauce, Yogurt",7
T0166,"Cooking Oil, Eggs, Tomato Sauce, Yogurt",4
